row  end   samples  maxMs  >=250ms  >=1s  sampler
  1  19:20    513     7556     20      6   no
  2  19:21    823     3272     18      1   no
  3  19:22    500    38886     20      5   no
  4  19:23   1027       68      0      0   no
  5  19:26   1030       56      0      0   no
  6  19:28   1027       75      0      0   no
  7  19:29   1021      260      1      0   no
  8  19:30   1021      410      1      0   no
  9  19:32   1028       69      0      0   no
 10  19:33   1028       47      0      0   no
 11  19:34   1024      190      0      0   no
 12  19:36    642     6576     12      6   no
