row  end   samples  maxMs  >=250ms  >=1s  sampler
  1  18:30    927     5260      3      2   no
  2  18:31    141     3704     32     23   yes
  3  18:32    701     2512     12     10   yes
  4  18:33   1107       25      0      0   yes
  5  18:35   1069      539      4      0   yes
  6  18:36   1105       53      0      0   yes
  7  18:38   1081       29      0      0   yes
  8  18:39    521     5247     15     12   yes
  9  18:40    728     3009     17      7   yes
 10  18:41   1050       64      0      0   yes
 11  18:43   1010      527      1      0   yes
 12  18:44   1026      140      0      0   yes
 13  18:45    431     2646     24     16   yes
 14  18:46   1026       63      0      0   yes
 15  18:47   1026       51      0      0   no
 16  18:48   1005      528      2      0   no
 17  18:49   1023       76      0      0   no
